,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Tech_Status
77,Eunimart,2016.0,Hyderabad,Consumer Discretionary,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt",700000.0,Pre series,2021,Tech
78,Meesho,2015.0,Bangalore,Consumer Discretionary,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",300000000.0,Unstated,2021,Tech
79,CareerLabs,2019.0,Bangalore,Information Technology,"Aim to help students become future-ready, setting them on a path to success that suits them best.","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000.0,Unstated,2021,Tech
80,Uable,2020.0,Bangalore,Information Technology,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Saurabh Saxena,"JAFCO Asia, Chiratae Ventures",35000000.0,Pre series,2021,Tech
81,Zoko,2016.0,Bangalore,Information Technology,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.","Arjun Paul, Aromal Sivadasan",Y Combinator,140000000.0,Seed,2021,Tech
82,GetWork,2019.0,Gurugram,Information Technology,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,Artha Venture Fund,200000.0,Seed,2021,Non-tech
83,Easebuzz,2015.0,Pune,Consumer Discretionary,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,Rohit Prasad,"Jitendra Gupta, Amrish Rau",4000000.0,Series A,2021,Tech
84,Chingari,2018.0,Bangalore,Communication Services,Chingari operates as a short video platform.,Sumit Ghosh,"FJ Labs, Brian Norgard",13000000.0,Unstated,2021,Non-tech
85,DusMinute,2017.0,Bangalore,Consumer Discretionary,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,Indian Angel Network,1100000.0,Pre series,2021,Non-tech
88,Factors.AI,2020.0,Bangalore,Information Technology,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Aravind Murthy, Praveen Das, Srikrishna Swaminathan","Elevation Partners, Emergent Ventures",2000000.0,Unstated,2021,Tech
89,Elevar,2017.0,Mumbai,Consumer Discretionary,"A Revolutionary Sports Brand, Engineered For Those Who Want More.","Kunal Joshi, Pranav Marwah","Kalaari Capital, Dream Capital",2000000.0,Unstated,2021,Non-tech
