,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Tech_Status
1336,SignalX,2018.0,Hyderabad,Information Technology,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed,2020,Tech
1337,Lancify,2018.0,Bangalore,Information Technology,Lancify is building the world's strongest young workforce,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",300000.0,Unstated,2020,Tech
1338,Krimanshi,2015.0,Jodhpur,Information Technology,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000.0,Seed,2020,Non-tech
1339,Instoried,2018.0,Bangalore,Information Technology,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",1000000.0,Pre series,2020,Tech
1340,PlayerzPot,2015.0,Mumbai,Consumer Discretionary,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes","Yogesh, Mitesh Gangar",,3000000.0,Series A,2020,Non-tech
1342,Turtlemint,2015.0,Mumbai,Information Technology,Turtlemint has built Indian personalized insurance platform,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator",30000000.0,Unstated,2020,Tech
1343,Arata,2017.0,New Delhi,Consumer Discretionary,Arata is an e-commerce site for beauty products and cosmetics.,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,1000000.0,Pre series,2020,Tech
1344,MPL,2018.0,Bangalore,Consumer Discretionary,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",5000000.0,Unstated,2020,Non-tech
1345,True Balance,2014.0,Gurugram,Information Technology,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners",28000000.0,Unstated,2020,Tech
1348,Prescribe,2019.0,Chennai,Information Technology,Provide online services to patients by leveraging WhatsApp.,Nived Narayanan,Titan Capital,100000.0,Unstated,2020,Tech
1349,Nepra,2006.0,Ahmedabad,Information Technology,NEPRA Resource Management provides waste management solutions in India.,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",18000000.0,Series C,2020,Non-tech
1350,inFeedo,2013.0,Gurugram,Information Technology,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",Tanmaya Jain,"Peyush Bansal, Ritesh Malik",3200000.0,Unstated,2020,Tech
1353,MindTickle,2011.0,Pune,Information Technology,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",100000000.0,Others,2020,Non-tech
1355,Slice,2016.0,Bangalore,Information Technology,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",5000000.0,Others,2020,Tech
1356,Rapawalk,2017.0,Bangalore,Consumer Discretionary,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",300000.0,Seed,2020,Tech
1359,Stride Ventures,2019.0,New Delhi,Financials,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,Ishpreet Gandhi,Small Industries Development Bank of India,80000000.0,Unstated,2020,Non-tech
1360,BlackSoil,2016.0,Mumbai,Information Technology,Blacksoil Advisory is an independent boutique advisory firm.,Ankur Bansal,,10000000.0,Unstated,2020,Tech
1361,Biocon,1978.0,Bangalore,Health Care,"Biocon is a healthcare and technology, company focused on biotechnology.",Kiran Mazumdar-Shaw,Goldman Sachs,15000000.0,Unstated,2020,Non-tech
1362,Clientjoy,2013.0,Gujarat,Information Technology,Client Management Software For Modern Agencies.,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",800000.0,Pre series,2020,Tech
1363,Xpressbees,2015.0,Pune,Consumer Discretionary,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital",100000000.0,Unstated,2020,Tech
1365,Wellness Forever,2008.0,Mumbai,Information Technology,Wellness Forever is the one-stop destination for wellness,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group",100000000.0,Unstated,2020,Tech
1366,MoooFarm,2019.0,Gurugram,Information Technology,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",500000.0,Pre seed,2020,Tech
1367,BitClass,2020.0,Bangalore,Financials,BitClass is a PaaS solution which helps teachers set up their independent live classes,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures",2000000.0,Seed,2020,Non-tech
1368,Gonuts,2020.0,Mumbai,Communication Services,Personalised Video shoutouts from favourite celebrity.,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",400000.0,Seed,2020,Non-tech
1369,Uolo,2013.0,Bangalore,Information Technology,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital",2000000.0,Seed,2020,Tech
1370,Kirana King,2014.0,Jaipur,Consumer Discretionary,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",Anup Kumar,Rajasthan Venture Capital Fund,900000.0,Pre series,2020,Non-tech
1371,Jade Forest,,Delhi,Customer Staples,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.","Punweet Singh, Shuchir Suri",,250000.0,Seed,2020,Non-tech
1373,FrontRow,,Bangalore,Information Technology,"Comprehensive courses, taught by idols.","Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone",3200000.0,Seed,2020,Tech
1374,Reliance Retail,2006.0,Mumbai,Consumer Discretionary,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC",10000000.0,Unstated,2020,Tech
1376,Ather Energy,2013.0,Bangalore,Information Technology,Ather Energy is a manufacturer of electric scooters.,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,35000000.0,Later stage,2020,Non-tech
1377,Routematic,2007.0,Bangalore,Information Technology,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra",2000000.0,Unstated,2020,Tech
1378,LivFin,2017.0,New Delhi,Information Technology,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),Rakesh Malhotra,"DEG, KFW DEG",4700000.0,Unstated,2020,Tech
1381,Eggoz,2016.0,Indore,Customer Staples,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.","Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",1500000.0,Pre series,2020,Non-tech
1383,CHARGE+ZONE,2018.0,Gujarat,Energy,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.","Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,3000000.0,Pre series,2020,Tech
1384,Stones2milestones,2008.0,Gurugram,Information Technology,Stones2milestones is India (Delhi) Based EdTech Company,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",2000000.0,Others,2020,Tech
1385,Udacity,2011.0,California,Information Technology,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",75000000.0,Others,2020,Tech
1386,AjnaLens,2014.0,Thane,Information Technology,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.","Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",1000000.0,Others,2020,Non-tech
1387,Gully Network,2019.0,Bangalore,Consumer Discretionary,Gully Network is a tech-enabled network of mid-sized grocery stores.,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",1200000.0,Pre series,2020,Tech
1388,TurboHire,2018.0,Hyderabad,Information Technology,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures",1000000.0,Seed,2020,Non-tech
1390,Charcoal Eats,2015.0,Mumbai,Financials,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.","Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments,2000000.0,Unstated,2020,Non-tech
1392,Svami,2016.0,Mumbai,Customer Staples,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,Sahil Jatana,"Niren Shah, Rukam Capital Trust",800000.0,Unstated,2020,Non-tech
1393,Dhurnia,2018.0,Guruguram,Information Technology,Developer of an online learning platform intended for various competitive exam preparations.,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital",100000.0,Unstated,2020,Tech
1395,Leena AI,2015.0,New York,Information Technology,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt",8000000.0,Unstated,2020,Tech
1396,Bizlog,2016.0,Bangalore,Industrials,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,1000000.0,Unstated,2020,Non-tech
1397,Tamasha.live,2020.0,Mumbai,Consumer Discretionary,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.","Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque",300000.0,Unstated,2020,Non-tech
1398,Fedo,2017.0,Bangalore,Information Technology,Artificial Intelligence based Credit Score for Health,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,1000000.0,Unstated,2020,Tech
1399,FabHotels,2015.0,Gurugram,Health Care,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",1000000.0,Unstated,2020,Non-tech
1400,Freshokartz,2016.0,Jaipur,Information Technology,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000.0,Pre series,2020,Tech
1401,FlexiLoans,2016.0,Mumbai,Information Technology,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.","Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,6000000.0,Others,2020,Tech
1404,FreshtoHome,2015.0,Bangalore,Consumer Discretionary,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,"Ascent Capital, Iron Pillar",121000000.0,Series C,2020,Tech
1405,Credable,2017.0,Mumbai,Information Technology,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,Nirav Choksi,Oaks Asset Management,4500000.0,Unstated,2020,Tech
1406,Railofy,2019.0,Mumbai,Consumer Discretionary,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",5000000.0,Seed,2020,Non-tech
1407,Finova Capital,2016.0,Jaipur,Information Technology,Finova Capital is a non-banking financial company.,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital",55000000.0,Unstated,2020,Tech
1408,Teachmint,2020.0,Bangalore,Information Technology,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,3500000.0,Seed,2020,Tech
1409,Peel-Works,2010.0,Mumbai,Consumer Discretionary,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle",3000000.0,Unstated,2020,Tech
1410,Janani,2020.0,Bangalore,Information Technology,Janani aims to make the process of infertility treatment and assisted fertilisation easier,Nilay Mehrotra,9Unicorns,200000.0,Pre seed,2020,Non-tech
1411,Credgenics,2018.0,Gurugram,Information Technology,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",3300000.0,Seed,2020,Tech
1415,Jumbotail,2015.0,Bangalore,Consumer Discretionary,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000.0,Others,2020,Tech
1416,Winzo,2018.0,New Delhi,Consumer Discretionary,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",2000000.0,Unstated,2020,Non-tech
1417,mCaffeine,2015.0,Mumbai,Customer Staples,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",5000000.0,Series B,2020,Non-tech
1418,Pocket FM,2018.0,Bangalore,Communication Services,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,Rohan Nayak,"Times Group, Lightspeed",5000000.0,Series A,2020,Non-tech
1420,FreshtoHome,2015.0,Bangalore,Consumer Discretionary,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,"Ascent Capital, Iron Pillar",16000000.0,Unstated,2020,Tech
1421,Jumbotail,2015.0,Bangalore,Consumer Discretionary,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",11000000.0,Others,2020,Non-tech
1424,Genius Teacher,2016.0,Mumbai,Information Technology,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Advitiya Sharma, Gaurav Lahoti","Sandeep Tandon, Daniel Lapus",2000000.0,Unstated,2020,Tech
1425,Krimanshi Feeds,2015.0,Jodhpur,Consumer Discretionary,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",500000.0,Unstated,2020,Non-tech
1426,Origo,2010.0,Gurugram,Information Technology,Provider of marketing and warehousing services for agricultural commodities.,"Sunoor Kaul,",Northern Arc Capital,4000000.0,Others,2020,Tech
1427,GetVantage,2019.0,Mumbai,Information Technology,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra","Samyakth Capital, Venture Catalysts",5000000.0,Seed,2020,Tech
1428,Betterplace,2015.0,Bangalore,Information Technology,Developer of a digital verification platform designed to manage the semi-formal workforce.,"Saurabh Tandan, Pravin Agarwala",Jungle Ventures,10000000.0,Series B,2020,Tech
1429,Biddano,2016.0,Mumbai,Health Care,India's 1st tech-enabled healthcare logistics platform.,Talha Shaikh,Windrose Capital,600000.0,Pre series,2020,Non-tech
1430,InVideo,2017.0,Mumbai,Communication Services,InVideo enables you to transform your content into great videos.,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India",15000000.0,Series A,2020,Non-tech
1431,Arzooo,2016.0,Bangalore,Information Technology,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales","Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",7500000.0,Series A,2020,Non-tech
1432,Hubilo,2020.0,San Francisco,Information Technology,World’s smartest virtual event platform that brings Experience & Intelligence together,"Mayank Agarwal, Vaibhav Jain","Nishant Rao, Jonathan Boutelle",4500000.0,Seed,2020,Tech
1433,BASIC Home Loan,2020.0,Gurugram,Information Technology,"A platform for automating home loans for middle and low-income households in India,",Atul Monga,Picus Capital,5000000.0,Seed,2020,Tech
1434,Ketos,2015.0,San Francisco,Information Technology,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,Meena Sankaran,"Citi Ventures, Illuminated Funds Group",18000000.0,Unstated,2020,Tech
1435,SUGAR cosmetics,2012.0,Mumbai,Customer Staples,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,"Kasuhik Mukherjee, Vineeta Singh","A91 Partners, RB Investments Pte. Ltd",2000000.0,Others,2020,Non-tech
1436,Signzy,2015.0,Bangalore,Information Technology,It is creating 'building blocks for a Digital Trust system.,"Ankit Ratan, Ankur Pandey, Arpit Ratan","GenNext Ventures, Contrarian Drishti Partners",5400000.0,Unstated,2020,Tech
1438,Tekion,2016.0,San Ramon,Information Technology,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures",150000000.0,Series C,2020,Tech
1439,Brighteye Ventures,2017.0,Paris,Information Technology,Education technology venture capital firm.,David guerin,Tandem,5400000.0,Unstated,2020,Tech
1440,EzeRx,2018.0,Kolkata,Information Technology,Developer and manufacturer of medical devices,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty",200000.0,Seed,2020,Tech
1441,VitalTech,2018.0,Plano,Information Technology,"VitalTech is a develop technologies that empower patients to better care for their safety,",Anjan Panneer Selvam,Tech Mahindra,3000000.0,Seed,2020,Tech
1442,Genius Teacher,2016.0,Mumbai,Information Technology,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Advitiya Sharma, Gaurav Lahoti","Whiteboard Capital, VKG Ventures LLP.",2000000.0,Unstated,2020,Tech
1443,Ultraviolette Automotive,2014.0,Bangalore,Information Technology,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,4000000.0,Series B,2020,Non-tech
1445,Rare Planet,2015.0,Kolkata,Consumer Discretionary,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,400000.0,Pre series,2020,Tech
1446,GoodGamer,2020.0,Bangalore,Consumer Discretionary,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,Charles Creighton,,2500000.0,Seed,2020,Non-tech
1447,InnAccel,2012.0,Bangalore,Information Technology,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Siraj Dhanani,Mount Judi Ventures,1500000.0,Pre series,2020,Tech
1448,Tiliter,2017.0,Sydney,Consumer Discretionary,Software that uses computer vision to recognise products without barcodes,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec",7500000.0,Unstated,2020,Non-tech
1449,Slintel,2016.0,San Francisco Bay Area,Information Technology,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.","Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners",4200000.0,Unstated,2020,Non-tech
1450,SoOLEGAL,2015.0,New Delhi,Information Technology,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",Manish Kaul,,4000000.0,Unstated,2020,Non-tech
1451,HobSpace,2019.0,Mumbai,Information Technology,India's Activity Hub for Kids,"Priya Goel Sheth, Harsh Jain",Artha Venture,200000.0,Seed,2020,Tech
1452,Supplynote,2015.0,Noida,Information Technology,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV",500000.0,Seed,2020,Tech
1454,ShopUp,2017.0,Bangaldesh,Consumer Discretionary,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.","Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital",22000000.0,Series A,2020,Tech
1456,Zomato,2008.0,Gurugram,Information Technology,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",52000000.0,Unstated,2020,Non-tech
1457,Dukaan,2020.0,Mumbai,Information Technology,Developer of an android application designed for businesses to sell online.,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.",6000000.0,Seed,2020,Tech
1458,CredR,2014.0,Mumbai,Real Estate,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,"Nikhil Jain, Nittin Mittal, Sumit Chhazed","Eight Roads Ventures, On Mauritius",2000000.0,Unstated,2020,Non-tech
1459,Satyukt,2018.0,Bangalore,Information Technology,An agritech company that provides business to business (B2B) agricultural data,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",500000.0,Seed,2020,Non-tech
1461,TREAD,2020.0,Bangalore,Consumer Discretionary,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",1100000.0,Pre seed,2020,Non-tech
1462,Anveshan,2019.0,Bangalore,Information Technology,Provide quality and healthy food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,100000.0,Pre seed,2020,Non-tech
1463,TeaMonk,2016.0,Bangalore,Customer Staples,India's Finest Specialty Tea company.,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures",900000.0,Pre series,2020,Non-tech
1464,Fleetx,2017.0,Gurugram,Information Technology,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.","Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat",3000000.0,Pre series,2020,Tech
1468,Avataa Me,2014.0,Bangalore,Information Technology,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,Gaurav Baid,Sequoia Capital India,7000000.0,Series A,2020,Non-tech
1469,Arrival,2015.0,London,Energy,Arrival is a technology company that specializes in developing electric vehicles.,Denis Sverdlov,"UPS Ventures, Hyundai Motor Company",118000000.0,Unstated,2020,Tech
1470,Cover Genius,2014.0,Sydney,Information Technology,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,"Angus McDonald, Chris Bayley","King River Capital, Leap Capital",15000000.0,Unstated,2020,Tech
1471,Phononic Vibes,2018.0,Milano,Information Technology,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.","Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",,2300000.0,Unstated,2020,Tech
1473,Clair,2019.0,New York,Information Technology,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures",4500000.0,Seed,2020,Tech
1475,Miko,2015.0,Mumbai,Information Technology,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, YourNest Venture Capital",3000000.0,Pre series,2020,Tech
1476,Razorpay,2014.0,Bangalore,Information Technology,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India",100000000.0,Later stage,2020,Tech
1477,Ninjacart,2015.0,Bangalore,Customer Staples,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.","Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan","Syngenta Ventures, Walmart",30000000.0,Unstated,2020,Non-tech
1478,Wow! Momo,2008.0,Kolkata,Customer Staples,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Tiger Global Management, William Bissell",5000000.0,Others,2020,Non-tech
1479,Pepper Content,2017.0,Mumbai,Real Estate,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari",4200000.0,Series A,2020,Non-tech
1480,LIVSPACE,2014.0,Bangalore,Information Technology,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners",4000000.0,Others,2020,Non-tech
1481,Acculi Labs,2017.0,Bangalore,Health Care,Acculi Labs is a clinical grade smartphone based diagnostic tool,"HariPrasath M., Rupam Das",Startup Basket.,600000.0,Seed,2020,Non-tech
1482,Your MD,2012.0,London,Health Care,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,"Alessandro Traverso, Birger Lie, Harald Jellum, Matteo Berlucchi","Orkla Ventures, Smedvig Capital",25000000.0,Unstated,2020,Non-tech
1483,Antaios,2016.0,Grenoble,Information Technology,Developer of memory-based technology intended to solve issues of advanced computing.,Jean Pierre Nozieres,,11000000.0,Unstated,2020,Tech
1484,Unnati,2017.0,Noida,Information Technology,A helping hand to the farming community through Artificial Intelligence,"Amit Sinha, Ashok Prasad",NABVENTURES,1700000.0,Pre series,2020,Tech
1485,Disprz,2015.0,Chennai,Information Technology,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","Kuljit Chadha, Subramanian Viswanathan","Xseed Partners, InnoVen Capital",1600000.0,Pre series,2020,Tech
1486,Uni,,Mumbai,Information Technology,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,Nitin Gupta,"Lightspeed India Partners, Accel India",18500000.0,Seed,2020,Tech
1487,Credit Wise Capital,1994.0,Mumbai,Information Technology,CreditWise Capital is a consumer finance company.,"Hirak Joshi, Aalesh Avlani",Venture Catalysts,6000000.0,Seed,2020,Tech
1488,Chargebee,2011.0,San Francisco Bay Area,Information Technology,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T","Accel, Steadview Capital",55000000.0,Later stage,2020,Tech
1489,Reliance Retail Ventures Ltd,2006.0,Mumbai,Consumer Discretionary,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,"Silver Lake, Mubadala Investment Company",70000000000.0,Unstated,2020,Non-tech
1490,Winuall,2019.0,Bangalore,Information Technology,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.","Ashwini Purohit, MS Chouhan","Amit Lakhotia, Akash Gehani",2000000.0,Unstated,2020,Tech
1491,Genrobotics,2015.0,Trivandrum,Information Technology,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",Unicorn India Ventures,300000.0,Unstated,2020,Tech
1492,Livve,2015.0,Cochin,Real Estate,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Maya Lakshman,,1500000.0,Seed,2020,Non-tech
